"Parameter","Coefficient","SE","CI","CI_low","CI_high","z","Chisq","df","p"
"(Intercept)",4.23321240134718,1.1183207635852,0.95,2.52232766790453,7.10458338262093,5.46208313571776,NA,NA,NA
"Recipient (Self vs. Other)",3.06102713453863,0.143155865111347,0.95,2.79292203121161,3.35486884834983,23.9216584642317,864.241936355567,1,"0.001"
"Effort",0.232474181361851,0.0105742094660824,0.95,0.212646079732501,0.25415114667455,-32.075615432814,1702.02635150146,1,"0.001"
"Reward",3.32261006479093,0.153085453815297,0.95,3.03571670131316,3.63661656500243,26.0614320708613,1035.3301170659,1,"0.001"
"Recipient (Self vs. Other) * Effort",0.964210291969149,0.0408284122409595,0.95,0.887418708700985,1.0476469315146,-0.86071130965649,0.0454322848054289,1,"0.85"
"Recipient (Self vs. Other) * Reward",1.30848924879502,0.0579368536111466,0.95,1.19972287223031,1.42711633981708,6.07243411164237,33.6437780081187,1,"0.001"
"Effort * Reward",1.10306584706424,0.0460116367295721,0.95,1.01647263645391,1.19703592533917,2.35165552616485,10.3849394509425,1,"0.001"
"Recipient (Self vs. Other) * Effort * Reward",0.897572268437892,0.0369302622114687,0.95,0.828031901897358,0.972952823704865,-2.62638620660875,6.95035640126753,1,"0.009"
