ID,self_k,other_k,beta,other_k_minus_self_k
101PMMRI,0.0551175527957656,0.108618483051111,1.05196447754895,0.0535009302553454
102PMMRI,0.0291745111359569,0.0300725343665942,8.57446936034948,0.000898023230637358
103PMMRI,0.122669493995707,0.459668755115571,1.69971084196915,0.336999261119864
104PMMRI,0.275251275153106,0.250400961051247,1.56878176475816,-0.024850314101859
105PMMRI,0.0298735358891916,0.0320411239824184,5.26616464566431,0.00216758809322675
106PMMRI,0.150696874099777,0.158335104816484,2.02187820573903,0.00763823071670716
107PMMRI,0.129525775380854,0.0806800894901686,2.00409236131975,-0.0488456858906858
108PMMRI,2.40264708674821e-09,0.915520347095154,0.59275565906575,0.915520344692507
109PMMRI,0.15602735150294,0.207026613506457,0.629050232117788,0.0509992620035165
111PMMRI,0.1311408606874,0.270834154931166,0.848879256071862,0.139693294243767
112PMMRI,0.0665630058894231,0.0630302428698287,2.52642932494417,-0.00353276301959439
113PMMRI,0.141024337174447,0.283657232061238,1.34744028294524,0.142632894886791
114PMMRI,0.0515323784706207,0.151621778424619,1.16203321345759,0.100089399953999
115PMMRI,0.0756594182177434,0.513729769673958,0.303113100632273,0.438070351456215
116PMMRI,1.06225267254506e-08,0.0245679485374989,2.23479282236275,0.0245679379149721
117PMMRI,0.101939882589932,0.117501165793051,1.53502909706509,0.0155612832031192
118PMMRI,0.0521629085542925,0.14387427806935,1.42230697730868,0.0917113695150576
119PMMRI,0.0734930144767088,0.0931298811370854,2.59204217551234,0.0196368666603766
120PMMRI,0.0699312111528335,0.114515217340568,1.102099031057,0.044584006187735
121PMMRI,1.35949414826183e-10,0.105894015032542,1.27138820750929,0.105894014896592
122PMMRI,0.0679629976842142,0.0796105726366764,5.63062815129836,0.0116475749524621
123PMMRI,0.0536598775850235,0.512974271255727,1.63622745388524,0.459314393670703
124PMMRI,0.0392784842717934,0.153896442585774,1.11010597937622,0.11461795831398
126PMMRI,0.101541292750176,0.393208420994034,0.820871182440198,0.291667128243858
127PMMRI,0.143903965111611,0.176078065096417,0.848187113500936,0.0321740999848058
128PMMRI,0.114710783388108,0.12984443788531,3.46354370260665,0.0151336544972016
129PMMRI,0.0654740231465178,0.070831396331324,1.9952292211355,0.00535737318480624
130PMMRI,0.081464484296836,0.487290692577931,0.828286327093584,0.405826208281095
131PMMRI,4.26987841322774e-09,0.366864902710017,2.12825524313485,0.366864898440138
133PMMRI,0.0919155302660356,0.0742643221960861,2.18571029791786,-0.0176512080699495
134PMMRI,0.0557038950445565,0.0682808303987874,2.07674127805318,0.0125769353542309
135PMMRI,0.10082913116847,0.151478374123024,2.67641419075167,0.0506492429545541
136PMMRI,0.0890501330190313,0.139963669994144,2.08541250055602,0.0509135369751132
137PMMRI,0.00501347036851201,0.255386232578832,1.11933636451376,0.25037276221032
138PMMRI,0.0867299417317745,0.214013231938462,0.576453510365147,0.127283290206688
139PMMRI,1.31666378898382e-08,0.0382485108684729,1.1357354852186,0.038248497701835
140PMMRI,2.36431945046164e-09,1.123766155748,1.11648419618386,1.12376615338368
141PMMRI,0.0696593878324161,0.152064003794757,0.64187319613642,0.0824046159623404
