Simulated,Estimated,aic,bic,bicp,nll,best,ef,ep,minbic,relbic,maxrelbic,proprelbic,proplogrelbic
4,7,4103.616853,5093.112063,1.7,1751.808427,0,0.00082509,0,4655.345764,437.7662987,5989.204031,0.073092567,0.699228021
4,8,8620.553671,9610.048881,0,4010.276836,0,0.000825083,0,4655.345764,4954.703117,5989.204031,0.827272387,0.978198723
4,9,9412.002421,10401.49763,0,4406.00121,0,0.000825083,0,4655.345764,5746.151866,5989.204031,0.959418286,0.995236894
4,10,3803.573799,5122.900746,0.1,1501.7869,0,0.000825087,0,4655.345764,467.5549815,5989.204031,0.078066297,0.706796877
4,11,8544.485211,9863.812158,0,3872.242605,0,0.000825083,0,4655.345764,5208.466393,5989.204031,0.869642504,0.983941405
4,12,9325.222848,10644.5498,0,4262.611424,0,0.000825083,0,4655.345764,5989.204031,5989.204031,1,1
5,1,10342.82726,11002.49074,5.1,4971.413631,0,0.000825089,0,8212.814961,2789.675775,3319.507515,0.84038845,0.978552018
5,2,8032.68872,8692.352193,39.4,3816.34436,0,0.597318798,0.874397,8212.814961,479.537232,3319.507515,0.144460354,0.761365025
5,3,8166.96299,8826.626464,16.7,3883.481495,0,0.000825111,0,8212.814961,613.8115025,3319.507515,0.184910412,0.791813888
5,4,9783.554716,10773.04993,2.7,4591.777358,0,0.000825091,0,8212.814961,2560.234965,3319.507515,0.771269519,0.967966069
5,5,10542.82727,11532.32248,0,4971.413633,0,0.000825083,0,8212.814961,3319.507515,3319.507515,1,1
5,6,7223.319751,8212.814961,28.3,3311.659876,10,0.392754591,0.125603,8212.814961,0,3319.507515,0,0
5,7,10342.40909,11331.9043,0,4871.204546,0,0.000825084,0,8212.814961,3119.089341,3319.507515,0.939624124,0.992318865
5,8,8027.019514,9016.514724,1.1,3713.509757,0,0.000825091,0,8212.814961,803.6997629,3319.507515,0.242114157,0.825059094
5,9,8102.877186,9092.372396,0.9,3751.438593,0,0.000825091,0,8212.814961,879.5574349,3319.507515,0.264966243,0.836183645
5,10,9906.647073,11225.97402,0.1,4553.323536,0,0.000825084,0,8212.814961,3013.159058,3319.507515,0.907712679,0.988057166
5,11,7204.956674,8524.283621,5.3,3202.478337,0,0.002500797,0,8212.814961,311.4686598,3319.507515,0.09382978,0.708140357
5,12,7325.066223,8644.39317,0.4,3262.533112,0,0.00082509,0,8212.814961,431.5782086,3319.507515,0.130012722,0.748368187
6,1,16977.74881,17637.41228,4.6,8288.874404,0,0.000825103,0,15963.23976,1674.172527,2204.004278,0.759604935,0.964282191
6,2,16081.97154,16741.63501,11.3,7840.985769,0,0.003918263,0,15963.23976,778.395257,2204.004278,0.353173206,0.864797029
6,3,15880.49767,16540.16114,35,7740.248833,0,0.453268992,0.294381,15963.23976,576.9213831,2204.004278,0.261760555,0.825887284
6,4,16223.48645,17212.98166,3.4,7811.743226,0,0.000825099,0,15963.23976,1249.741907,2204.004278,0.567032432,0.926300794
6,5,17177.74882,18167.24403,0,8288.874412,0,0.000825084,0,15963.23976,2204.004278,2204.004278,1,1
6,6,14973.74455,15963.23976,41,7186.872273,10,0.535386913,0.705619,15963.23976,0,2204.004278,0,0
6,7,16781.08266,17770.57787,0.1,8090.54133,0,0.000825087,0,15963.23976,1807.338114,2204.004278,0.820024776,0.974224484
6,8,15923.76755,16913.26276,0.7,7661.883775,0,0.000825093,0,15963.23976,950.0230041,2204.004278,0.431044084,0.8906805
6,9,15735.10562,16724.60083,2.7,7567.55281,0,0.000825099,0,15963.23976,761.3610756,2204.004278,0.345444464,0.861922695
6,10,16326.93764,17646.26458,0,7763.468819,0,0.000825085,0,15963.23976,1683.024829,2204.004278,0.763621398,0.964967255
6,11,15275.37439,16594.70134,0.6,7237.687195,0,0.00082509,0,15963.23976,631.4615805,2204.004278,0.286506513,0.837621595
6,12,15078.71744,16398.04439,0.6,7139.358722,0,0.000825092,0,15963.23976,434.8046346,2204.004278,0.197279397,0.789149424
7,1,9265.707641,9925.371115,17.4,4432.853821,0,0.044900502,0,4560.900643,5364.470472,8305.24706,0.645913413,0.951567078
7,2,11444.65913,12104.3226,0.1,5522.329565,0,0.000825084,0,4560.900643,7543.421962,8305.24706,0.908271832,0.989339016
7,3,12206.48423,12866.1477,0.1,5903.242115,0,0.000825084,0,4560.900643,8305.24706,8305.24706,1,1
7,4,7555.071482,8544.566692,0.5,3477.535741,0,0.000825091,0,4560.900643,3983.666049,8305.24706,0.479656538,0.91859124
7,5,9465.707634,10455.20284,0,4432.853817,0,0.000825085,0,4560.900643,5894.302202,8305.24706,0.709708231,0.962003888
7,6,11224.20399,12213.6992,0,5312.101996,0,0.000825083,0,4560.900643,7652.79856,8305.24706,0.92144141,0.990934147
7,7,3571.405433,4560.900643,81.1,1485.702716,10,0.946848655,1,4560.900643,0,8305.24706,0,0
7,8,8456.946229,9446.441439,0.1,3928.473114,0,0.000825083,0,4560.900643,4885.540796,8305.24706,0.588247497,0.941204597
7,9,9260.385507,10249.88072,0,4330.192753,0,0.000825083,0,4560.900643,5688.980074,8305.24706,0.684986254,0.958075182
7,10,3711.996684,5031.32363,0.7,1455.998342,0,0.000825087,0,4560.900643,470.4229879,8305.24706,0.056641661,0.6818699
7,11,8412.327086,9731.654033,0,3806.163543,0,0.000825083,0,4560.900643,5170.75339,8305.24706,0.622588751,0.947491651
7,12,9183.181291,10502.50824,0,4191.590646,0,0.000825083,0,4560.900643,5941.607595,8305.24706,0.715404076,0.962889639
8,1,16122.35128,16782.01475,2.1,7861.175638,0,0.000825111,0,8050.095344,8731.919405,9261.751133,0.942793569,0.993550449
8,2,14561.73676,15221.40023,11.5,7080.868381,0,0.043623089,0,8050.095344,7171.304891,9261.751133,0.774292549,0.971993064
8,3,14314.98312,14974.64659,5.6,6957.491559,0,0.01083353,0,8050.095344,6924.551247,9261.751133,0.747650325,0.968159505
8,4,14302.29143,15291.78664,0.2,6851.145715,0,0.000825089,0,8050.095344,7241.691295,9261.751133,0.781892235,0.973062423
8,5,16322.35127,17311.84648,0,7861.175633,0,0.000825084,0,8050.095344,9261.751133,9261.751133,1,1
8,6,12605.82857,13595.32378,0.3,6002.914285,0,0.000825088,0,8050.095344,5545.228436,9261.751133,0.598723541,0.943838946
8,7,9910.550133,10900.04534,1.2,4655.275067,0,0.000825088,0,8050.095344,2849.949999,9261.751133,0.307711788,0.870961566
8,8,7060.600134,8050.095344,58.7,3230.300067,10,0.930431029,1,8050.095344,0,9261.751133,0,0
8,9,7302.278428,8291.773638,18.8,3351.139214,0,0.00851163,0,8050.095344,241.6782937,9261.751133,0.026094233,0.600812208
8,10,9913.240197,11232.56714,0,4556.620098,0,0.000825084,0,8050.095344,3182.471799,9261.751133,0.34361448,0.883044004
8,11,7164.909894,8484.23684,1.1,3182.454947,0,0.00082509,0,8050.095344,434.1414962,9261.751133,0.046874667,0.664944635
8,12,7280.512097,8599.839044,0.5,3240.256049,0,0.000825089,0,8050.095344,549.7436994,9261.751133,0.059356345,0.6907921
9,1,20212.67495,20872.33842,3,9906.337473,0,0.000825101,0,16203.58089,4668.757533,5198.589272,0.898081631,0.987436592
9,2,19553.30742,20212.9709,6.4,9576.653711,0,0.003584487,0,16203.58089,4009.39001,5198.589272,0.771245775,0.969641906
9,3,19292.87726,19952.54074,21.1,9446.438632,0,0.184291884,0,16203.58089,3748.959852,5198.589272,0.721149461,0.961792494
9,4,18482.34965,19471.84486,0.6,8941.174825,0,0.000825087,0,16203.58089,3268.263974,5198.589272,0.62868286,0.945754954
9,5,20412.67495,21402.17016,0,9906.337474,0,0.000825084,0,16203.58089,5198.589272,5198.589272,1,1
9,6,17633.07065,18622.56586,0.9,8516.535327,0,0.000825091,0,16203.58089,2418.984978,5198.589272,0.465315656,0.91058596
9,7,16966.77366,17956.26887,0.6,8183.386832,0,0.000825088,0,16203.58089,1752.687987,5198.589272,0.337146848,0.872929105
9,8,15671.75775,16661.25296,9,7535.878877,0,0.00082511,0,16203.58089,457.6720774,5198.589272,0.088037745,0.715994724
9,9,15214.08568,16203.58089,55.9,7307.042838,10,0.804697799,1,16203.58089,0,5198.589272,0,0
9,10,16514.75405,17834.081,0.3,7857.377027,0,0.000825084,0,16203.58089,1630.500115,5198.589272,0.313642804,0.864483265
9,11,15499.95964,16819.28659,1.1,7349.979822,0,0.000825092,0,16203.58089,615.705704,5198.589272,0.118437074,0.750661766
9,12,15313.80977,16633.13672,1.1,7256.904885,0,0.000825093,0,16203.58089,429.55583,5198.589272,0.082629307,0.7085847
10,1,9711.39838,10371.06185,14.6,4655.69919,0,0.027985752,0,5000.393577,5370.668277,8333.469129,0.644469691,0.95133742
10,2,11867.03883,12526.70231,0.1,5733.519417,0,0.000825083,0,5000.393577,7526.30873,8333.469129,0.90314233,0.988715693
10,3,12674.19923,13333.86271,0,6137.099616,0,0.000825083,0,5000.393577,8333.469129,8333.469129,1,1
10,4,7537.930852,8527.426062,11.4,3468.965426,0,0.102042737,0,5000.393577,3527.032485,8333.469129,0.423237001,0.904760786
10,5,9911.398378,10900.89359,0,4655.699189,0,0.000825085,0,5000.393577,5900.500011,8333.469129,0.708048463,0.961758818
10,6,11483.01577,12472.51098,0.1,5441.507887,0,0.000825084,0,5000.393577,7472.117408,8333.469129,0.896639478,0.987915264
10,7,4010.898367,5000.393577,60.4,1705.449183,7,0.746266262,1,5000.393577,0,8333.469129,0,0
