Simulated,Estimated,aic,bic,nll,wins,bicp,best
4,12,9648.12145480824,10967.4484014275,4424.06072740412,0,0,0
4,13,4229.82507214412,4889.48854545373,1914.91253607206,0,30.8,0
4,14,5617.54000161729,6277.2034749269,2608.77000080865,0,1.1,0
4,15,6294.87050687505,6954.53398018466,2947.43525343753,0,0.4,0
4,16,3823.55722751636,4813.05243748077,1611.77861375818,0,7.5,0
4,17,5405.29922644261,6394.79443640703,2402.64961322131,0,0.5,0
4,18,6179.00826278108,7168.50347274549,2789.50413139054,0,0.1,0
4,19,4670.24856252978,5659.74377249419,2035.12428126489,0,1.5,0
4,20,5663.28031719859,6652.775527163,2531.6401585993,0,0,0
4,21,6346.30787958368,7335.80308954809,2873.15393979184,0,0.1,0
4,22,4201.57406725385,5520.90101387306,1700.78703362692,0,0.3,0
4,23,5543.42102848363,6862.74797510284,2371.71051424181,0,0,0
4,24,6351.41079480473,7670.73774142394,2775.70539740236,0,0,0
4,25,7929.90296575775,8589.56643906735,3764.95148287887,0,0,0
4,26,7863.03140010648,8852.52661007089,3631.51570005324,0,0,0
4,27,8015.49425873966,9004.98946870407,3707.74712936983,0,0,0
4,28,8011.56231474285,9330.88926136206,3605.78115737142,0,0,0
4,29,4181.43061164963,5170.92582161404,1790.71530582481,0,0.3,0
4,30,5505.14368065687,6494.63889062128,2452.57184032844,0,0,0
4,31,6166.87640937448,7156.37161933889,2783.43820468724,0,0,0
4,32,3743.8237805721,5063.15072719131,1471.91189028605,0,0,0
4,33,5251.59013711765,6570.91708373686,2225.79506855882,0,0,0
4,34,6041.55959161513,7360.88653823435,2620.77979580757,0,0,0
4,35,3933.20544888214,5582.36413215616,1466.60272444107,0,0,0
4,36,5541.07020879138,7190.2288920654,2270.53510439569,0,0,0
4,37,6399.70317304887,8048.86185632289,2699.85158652443,0,0,0
4,38,4021.36941515995,6000.35983508877,1410.68470757997,0,0,0
4,39,5589.22330371229,7568.21372364111,2194.61165185615,0,0,0
4,40,6368.05304944286,8347.04346937169,2584.02652472143,0,0,0
5,1,10237.6919854259,10897.3554587355,4918.84599271294,0,0.7,0
5,2,8026.09770506307,8685.76117837267,3813.04885253153,0,33.5,0
5,3,8718.69368018944,9378.35715349904,4159.34684009472,0,3.3,0
5,4,9594.50850769255,10584.003717657,4497.25425384628,0,0.5,0
5,5,7054.86269569595,8044.35790566036,3227.43134784798,1,25.5,10
5,6,8081.27909019506,9070.77430015948,3740.63954509753,0,1.4,0
5,7,10192.8944466075,11182.3896565719,4796.44722330373,0,0,0
5,8,7982.23176624569,8971.7269762101,3691.11588312285,0,0.8,0
5,9,8643.94751732715,9633.44272729156,4021.97375866358,0,0,0
5,10,9722.77264420072,11042.0995908199,4461.38632210036,0,0,0
5,11,7165.62763557786,8484.95458219707,3182.81381778893,0,0.2,0
5,12,8214.45060787976,9533.77755449897,3707.22530393988,0,0,0
5,13,11549.0805016188,12208.7439749284,5574.54025080942,0,1.3,0
5,14,8121.41680277509,8781.0802760847,3860.70840138754,0,11.7,0
5,15,8926.57695880238,9586.24043211199,4263.28847940119,0,3.4,0
5,16,11053.2471432826,12042.742353247,5226.6235716413,0,0.5,0
5,17,7196.94686462593,8186.44207459034,3298.47343231296,0,8.5,0
5,18,8279.92958886758,9269.42479883199,3839.96479443379,0,1.4,0
5,19,14098.2706157865,15087.7658257509,6749.13530789326,0,0,0
5,20,7984.61524315147,8974.11045311588,3692.30762157573,0,0.7,0
5,21,8793.03798183918,9782.53319180359,4096.51899091959,0,0.3,0
5,22,12528.5207279304,13847.8476745496,5864.2603639652,0,0,0
5,23,7357.44979166301,8676.77673828222,3278.7248958315,0,0,0
5,24,8439.08152293589,9758.40846955511,3819.54076146795,0,0.1,0
5,25,16828.9978511491,17488.6613244587,8214.49892557455,0,2.8,0
5,26,16476.3018355847,17465.7970455491,7938.15091779233,0,2.4,0
5,27,16865.4262951865,17854.9215051509,8132.71314759323,0,0.1,0
5,28,16647.288503634,17966.6154502532,7923.64425181701,0,0,0
5,29,8368.78593704468,9358.28114700909,3884.39296852234,0,0.4,0
5,30,8137.8578218645,9127.35303182891,3768.92891093225,0,0.2,0
5,31,8818.2488262732,9807.74403623761,4109.1244131366,0,0,0
5,32,7530.14897061629,8849.47591723551,3365.07448530815,0,0.1,0
5,33,7166.16996927459,8485.4969158938,3183.08498463729,0,0.2,0
5,34,8198.32762324556,9517.65456986478,3699.16381162278,0,0,0
5,35,7936.73180350709,9585.89048678111,3468.36590175355,0,0,0
5,36,7485.25506063816,9134.41374391217,3242.62753031908,0,0,0
5,37,8784.59305989321,10433.7517431672,3892.29652994661,0,0,0
5,38,7764.71525031729,9743.70567024611,3282.35762515865,0,0,0
5,39,7463.63701264581,9442.62743257463,3131.8185063229,0,0,0
5,40,8489.78471174968,10468.7751316785,3644.89235587484,0,0,0
6,1,16589.0312599311,17248.6947332407,8094.51562996554,0,2.7,0
6,2,15628.7820592125,16288.4455325221,7614.39102960623,0,6.6,0
6,3,15411.0585747323,16070.7220480419,7505.52928736613,0,21.7,0
6,4,15799.8596432999,16789.3548532643,7599.92982164993,0,1.2,0
6,5,14691.3939485243,15680.8891584887,7045.69697426215,0,7.9,0
6,6,14507.9607788875,15497.4559888519,6953.98038944373,1,17.2,10
6,7,16365.9357005098,17355.4309104742,7882.96785025489,0,0.2,0
6,8,15462.3133284313,16451.8085383958,7431.15666421567,0,0.5,0
6,9,15267.2769339051,16256.7721438695,7333.63846695257,0,1.1,0
6,10,15909.2332593851,17228.5602060043,7554.61662969253,0,0,0
6,11,14801.3828623393,16120.7098089585,7000.69143116966,0,0,0
6,12,14621.5093203509,15940.8362669701,6910.75466017543,0,0.2,0
6,13,17144.6697297538,17804.3332030634,8372.33486487691,0,0.9,0
6,14,15612.8631358643,16272.5266091739,7606.43156793214,0,3.9,0
