Simulated,Recovered,MLCorr
1,1,0.951225531610284
1,2,-0.00425789005575517
1,3,0.123836152637679
2,1,-0.0151793030005539
2,2,0.947889664860342
2,3,0.132499221368543
3,1,0.0456411995407169
3,2,0.00971895805585487
3,3,0.826590692343258
